city_original,city_chinese,admin_name_original,admin_name_chinese
Putian,莆田,Fujian,福建
Zhenjiang,镇江,Jiangsu,江苏
Guang’an,广安,Sichuan,四川
Changzhi,长治,Shanxi,山西
Tongren,铜仁,Guizhou,贵州
Leshan,乐山,Sichuan,四川
Qinhuangdao,秦皇岛,Hebei,河北
Xinzhou,新洲,Shanxi,山西
Lanzhou,兰州,Gansu,甘肃
Wuzhou,梧州,Guangxi,广西
Huainan,淮南,Anhui,安徽
Qincheng,秦城,Gansu,甘肃
Rizhao,日照,Shandong,山东
Meishan,梅山,Sichuan,四川
Ningde,宁德,Fujian,福建
Zhongshan,中山,Guangdong,粤
Weihai,威海,Shandong,山东
Haikou,海口,Hainan,海南
Tongliao,通辽,Inner Mongolia,内蒙古
Chaoyang,朝阳,Liaoning,辽宁
Shaoguan,韶关,Guangdong,粤
Heyuan,河源,Guangdong,粤
Daqing,大庆,Heilongjiang,黑龙江
Xiangtan,湘潭,Hunan,湖南
Longyan,龙岩,Fujian,福建
Baotou,包头,Inner Mongolia,内蒙古
Handan,邯郸,Hebei,河北
Jinzhou,锦州,Liaoning,辽宁
Nanping,南平,Fujian,福建
Shanwei,汕尾,Guangdong,粤
Chaozhou,潮州,Guangdong,粤
Weifang,潍坊,Shandong,山东
Huai’an,淮安,Jiangsu,江苏
Zibo,淄博,Shandong,山东
Ankang,安康,Shaanxi,陕西
Gulou,鼓楼,Fujian,福建
Sanming,三明,Fujian,福建
Yangjiang,阳江,Guangdong,粤
Jiamusi,佳木斯,Heilongjiang,黑龙江
Luohe,漯河,Henan,河南
Dingxi,定西,Gansu,甘肃
Shaoxing,绍兴,Zhejiang,浙江
Yantai,烟台,Shandong,山东
Huizhou,惠州,Guangdong,粤
Lishui,丽水,Zhejiang,浙江
Xuanzhou,宣州,Anhui,安徽
Zigong,自贡,Sichuan,四川
Guangyuan,广元,Sichuan,四川
Huangshi,黄石,Hubei,湖北
Xining,西宁,Qinghai,青海
Zhuhai,珠海,Guangdong,粤
Huludao,葫芦岛,Liaoning,辽宁
Baoshan,宝山,Yunnan,云南
Lianshan,连山,Liaoning,辽宁
Longba,龙坝,Gansu,甘肃
Jilin,吉林,Jilin,吉林
Tieling,铁岭,Liaoning,辽宁
Yunfu,云浮,Guangdong,粤
Luoyang,洛阳,Henan,河南
Anshun,安顺,Guizhou,贵州
Yingkou,营口,Liaoning,辽宁
Yanjiang,沿江,Sichuan,四川
Mudanjiang,牡丹江,Heilongjiang,黑龙江
Yan’an,延安,Shaanxi,陕西
Jincheng,晋城,Shanxi,山西
Nantong,南通,Jiangsu,江苏
Lincang,临沧,Yunnan,云南
Yuxi,玉溪,Yunnan,云南
Laibin,来宾,Guangxi,广西
Shengli,胜利,Shandong,山东
Dandong,丹东,Liaoning,辽宁
Qinbaling,秦巴岭,Gansu,甘肃
Gaoping,高平,Sichuan,四川
Taizhou,台州,Zhejiang,浙江
Ma’anshan,马鞍山,Anhui,安徽
Puning,普宁,Guangdong,粤
Huaibei,淮北,Anhui,安徽
Chongzuo,崇左,Guangxi,广西
Yushan,玉山,Jiangsu,江苏
Hezhou,贺州,Guangxi,广西
Pingliang,平凉,Gansu,甘肃
Qingyang,庆阳,Fujian,福建
Shangzhou,商州,Shaanxi,陕西
Sanmenxia,三门峡,Henan,河南
Baicheng,白城,Jilin,吉林
Pingxiang,凭祥,Jiangxi,江西
Yinchuan,银川,Ningxia,宁夏
Xiping,西平,Shanxi,山西
Jixi,鸡西,Heilongjiang,黑龙江
Fushun,抚顺,Liaoning,辽宁
Beihai,北海,Guangxi,广西
Fuxin,阜新,Liaoning,辽宁
Wuwei,武威,Gansu,甘肃
Siping,四平,Jilin,吉林
Shuyangzha,沭阳闸,Jiangsu,江苏
Shuozhou,朔州,Shanxi,山西
Sanzhou,三洲,Chongqing,重庆
Changshu,常熟,Jiangsu,江苏
Heihe,黑河,Heilongjiang,黑龙江
Ximeicun,西梅村,Fujian,福建
Jingdezhen,景德镇,Jiangxi,江西
Liaoyang,辽阳,Liaoning,辽宁
Chengtangcun,城塘村,Shandong,山东
Jiangyin,江阴,Jiangsu,江苏
Hebi,鹤壁,Henan,河南
Huzhou,湖州,Zhejiang,浙江
Jiaxing,嘉兴,Zhejiang,浙江
Zhangjiajie,张家界,Hunan,湖南
Baiyin,白银,Gansu,甘肃
Guiping,桂平,Guangxi,广西
Lianjiang,廉江,Guangdong,粤
Jianguang,剑光,Jiangxi,江西
Yucheng,玉城,Sichuan,四川
Xushan,徐山,Zhejiang,浙江
Leizhou,雷州,Guangdong,粤
Huazhou,化州,Henan,河南
Jinhua,金华,Zhejiang,浙江
Pizhou,邳州,Jiangsu,江苏
Yangshe,杨舍,Jiangsu,江苏
Rui’an,瑞安,Zhejiang,浙江
Wenling,温岭,Zhejiang,浙江
Gaozhou,高州,Guangdong,粤
Fuqing,福清,Fujian,福建
Wuzhong,吴忠,Ningxia,宁夏
Pingdu,平度,Shandong,山东
Yangquan,阳泉,Shanxi,山西
Yutan,玉潭,Hunan,湖南
Chizhou,池州,Anhui,安徽
Liangshi,良时,Hunan,湖南
Huangshan,黄山,Anhui,安徽
Benxi,本溪,Liaoning,辽宁
Xintai,新泰,Shandong,山东
Wusong,吴淞,Anhui,安徽
Yushu,玉树,Jilin,吉林
Kuaidamao,快大猫,Jilin,吉林
Huazhou,化州,Guangdong,粤
Baishan,白山,Jilin,吉林
Haicheng,海城,Liaoning,辽宁
Yicheng,宜城,Jiangsu,江苏
Rucheng,汝城,Jiangsu,江苏
Huaiyin,淮阴,Jiangsu,江苏
Dayan,大研,Yunnan,云南
Shaoyang,邵阳,Jiangsu,江苏
Laiwu,莱芜,Shandong,山东
Jingling,荆陵,Hubei,湖北
Yongcheng,永城,Henan,河南
Yiwu,义乌,Zhejiang,浙江
Beidao,北岛,Gansu,甘肃
Xiangshui,响水,Guizhou,贵州
Dadukou,大渡口,Sichuan,四川
Lingcheng,陵城,Guangxi,广西
Shuangyashan,双鸭山,Heilongjiang,黑龙江
Xinyu,新宇,Jiangxi,江西
Zhangye,张掖,Gansu,甘肃
Rongcheng,荣成,Yunnan,云南
Liaoyuan,辽源,Jilin,吉林
Guankou,灌口,Hunan,湖南
Lianyuan,涟源,Hunan,湖南
Rongcheng,荣成,Hubei,湖北
Kaiyuan,开元,Henan,河南
Zhuji,诸暨,Zhejiang,浙江
Yingtan,鹰潭,Jiangxi,江西
Leiyang,耒阳,Hunan,湖南
Yichun,宜春,Heilongjiang,黑龙江
Guyuan,固原,Ningxia,宁夏
Xiantao,仙桃,Hubei,湖北
Yingchuan,颍川,Henan,河南
Dongtai,东台,Jiangsu,江苏
Dingzhou,定州,Hebei,河北
Xibeijie,西北街西北街,Gansu,甘肃
Yuyao,余姚,Zhejiang,浙江
Hanchuan,汉川,Hubei,湖北
Gongzhuling,公主岭,Jilin,吉林
Zhufeng,珠峰,Shandong,山东
Ezhou,鄂州,Hubei,湖北
Xiashi,霞石,Zhejiang,浙江
Zhongwei,中卫,Ningxia,宁夏
Mizhou,密州,Shandong,山东
Xishan,西山,Hunan,湖南
Hegang,鹤岗,Heilongjiang,黑龙江
Fangchenggang,防城港,Guangxi,广西
Jiancheng,建成,Sichuan,四川
Shouguang,寿光,Shandong,山东
Sanya,三亚,Hainan,海南
Wutong,梧桐,Zhejiang,浙江
Linhai,临海,Zhejiang,浙江
Wafangdian,瓦房店,Liaoning,辽宁
Zhongxiang,忠祥,Hubei,湖北
Xinyi,信义,Guangdong,粤
Zaoyang,枣阳,Hubei,湖北
Xingyi,兴义,Guizhou,贵州
Shuizhai,水寨,Henan,河南
Zhangjiakou Shi Xuanhua Qu,张家口市宣化区,Hebei,河北
Lianhu,莲湖,Shaanxi,陕西
Binhu,滨湖,Jiangsu,江苏
Hongkou,虹口,Shanghai,上海
Wulaocun,五老村,Jiangsu,江苏
Changning,长宁,Shanghai,上海
Xixiangtang,西乡堂,Guangxi,广西
Dayingmen,大营门,Tianjin,天津
Wuma,五马,Zhejiang,浙江
Yanping,延平,Fujian,福建
Chaowai,朝外,Beijing,北京
Liuxiang,刘翔,Shanxi,山西
Changhongjie,长虹街,Tianjin,天津
Yangpu,杨浦,Shanghai,上海
Zhangyelu,张掖路,Gansu,甘肃
Jinrongjie,金荣街,Beijing,北京
Huancuilou,环翠楼,Shandong,山东
Weiyang,未央,Shaanxi,陕西
Meiyuan Xincun,梅园新村,Jiangsu,江苏
Dongtundu,东屯渡,Hunan,湖南
Sanjiang,三江,Anhui,安徽
Dongjie,东街,Fujian,福建
Haidian,海淀,Beijing,北京
Nanchansi,南禅寺,Jiangsu,江苏
Xinluoqu,新螺区,Fujian,福建
Daoli,道里,Heilongjiang,黑龙江
Gulou,鼓楼,Beijing,北京
Xuhui,徐汇,Shanghai,上海
Xihu,西湖,Gansu,甘肃
Xiaobailou,小白楼,Tianjin,天津
Nangang,南港,Heilongjiang,黑龙江
Pingjianglu,平江路,Jiangsu,江苏
Chong’ansi,崇安寺,Jiangsu,江苏
Xincheng,新城,Shaanxi,陕西
Luwan,卢湾,Shanghai,上海
Chengzhong,城中,Guangxi,广西
