city,admin_name
连山,辽宁
龙坝,甘肃
吉林,Jilin
铁岭,Liaoning
云浮,粤
洛阳,河南
安顺,贵州
营口,辽宁
沿江,四川
牡丹江,Heilongjiang
延安,陕西
晋城,山西
南通,江苏
临沧,云南
玉溪,云南
来宾,广西
胜利,山东
丹东,辽宁
秦巴岭,甘肃
高平,四川
台州,浙江
马鞍山,安徽
普宁,粤
淮北,安徽
崇左,广西
玉山,江苏
贺州,广西
平凉,Gansu
庆阳,福建
商州,陕西
三门峡,河南
白城,吉林
凭祥,江西
银川,宁夏
西平,Shanxi
鸡西,黑龙江
抚顺,辽宁
北海,广西
阜新,辽宁
武威,甘肃
四平,吉林
沭阳闸,江苏
朔州,山西
三洲,重庆
常熟,Jiangsu
黑河,黑龙江
西梅村,Fujian
景德镇,江西
辽阳,辽宁
城塘村,山东
江阴,Jiangsu
鹤壁,河南
湖州,浙江
嘉兴,浙江
张家界,湖南
白银,甘肃
桂平,广西
廉江,粤
剑光,江西
玉城,四川
徐山,浙江
雷州,粤
化州,Henan
Jinhua,浙江
邳州,Jiangsu
杨舍,江苏
瑞安,浙江
温岭,浙江
Gaozhou,粤
福清,福建
吴忠,宁夏
平度,山东
Yangquan,山西
Yutan,Hunan
池州,安徽
良时,湖南
Huangshan,安徽
本溪,Liaoning
新泰,山东
吴淞,安徽
玉树,Jilin
Kuaidamao,吉林
Huazhou,粤
白山,吉林
海城,辽宁
Yicheng,江苏
Rucheng,江苏
淮阴,江苏
大研,云南
邵阳,Jiangsu
莱芜,山东
Jingling,Hubei
永城,河南
Yiwu,浙江
Beidao,甘肃
响水,贵州
大渡口,四川
陵城,广西
双鸭山,黑龙江
新宇,江西
张掖,甘肃
荣成,Yunnan
Liaoyuan,吉林
Guankou,湖南
涟源,湖南
荣成,湖北
开元,河南
诸暨,浙江
鹰潭,江西
Leiyang,湖南
宜春,Heilongjiang
固原,宁夏
仙桃,湖北
颍川,河南
东台,江苏
定州,河北
西北街西北街,甘肃
余姚,浙江
汉川,湖北
公主岭,Jilin
珠峰,山东
鄂州,湖北
Xiashi,浙江
中卫,宁夏
密州,山东
西山,湖南
鹤岗,黑龙江
防城港,广西
Jiancheng,四川
寿光,山东
三亚,海南
梧桐,浙江
临海,浙江
Wafangdian,辽宁
忠祥,湖北
信义,粤
枣阳,Hubei
兴义,贵州
水寨,河南
张家口市宣化区,Hebei
莲湖,陕西
滨湖,江苏
Hongkou,上海
五老村,江苏
长宁,上海
西乡堂,广西
大营门,天津
五马,Zhejiang
延平,福建
朝外,北京
刘翔,山西
长虹街,Tianjin
杨浦,上海
Zhangyelu,甘肃
金荣街,北京
环翠楼,山东
未央,陕西
梅园新村,江苏
东屯渡,湖南
三江,安徽
东街,福建
海淀,北京
Nanchansi,江苏
新螺区,福建
道里,黑龙江
Gulou,北京
徐汇,上海
西湖,甘肃
Xiaobailou,天津
南港,黑龙江
平江路,Jiangsu
崇安寺,江苏
Xincheng,陕西
Luwan,上海
城中,广西
