City_en,City_zh
Hong Lok Yuen,康乐园
Hung Hom Estate,红磡村
Hung Hom,红磡
Hung Shui Kiu,洪水桥
Island Harbourview,维港湾
Island Resort,岛屿度假村
Jardine's Lookout,渣甸山
Jat Min Chuen,乙明村
Jordan,佐敦
Ka Lung Court,嘉隆阁
Ka Wai Chuen,家伟村
Kadoorie,嘉道理
Kai Ching Estate,启晴村
Kai Tak Garden,启德花园
Kai Tak,启德
Kai Tsui Court,启翠苑
Kam Tin,锦田
Kam Ying,锦英
Kau Wa Keng,九华径
Keng Hau,景口
King Shan Court,琼山阁
Kingsford Terrace,嘉峰台
Kornhill Garden,康怡花园
Kornhill,康怡
Kowloon Bay,九龙湾
Kowloon City Centre,九龙市中心
Kowloon City,九龙城
Kowloon Tong,九龙塘
Kowloon West End,九龙西区
Kowloon,九龙
Kwai Chung,葵涌
Kwong Yuen,广源
Kwun Lung Lau,观龙楼
Kwun Tong,观塘
Laguna City,拉古纳城
Laguna Verde (Estate),海逸豪园 (庄园)
Laguna Verde,拉古纳维德
Lai Kok Estate,丽阁村
Lai On Estate,丽安村
Lai Tak Tsuen,励德村
Lai Tsui Court,丽翠苑
Lam Tin,蓝田
Lau Fau Shan,流浮山
Lee On,李安
Lei Cheng Uk Estate,李郑屋村
Lei King Wan,鲤景湾
Lei Tung Estate,利东村
Lei Tung,雷东
Leighton Hill,礼顿山
Liberte,自由
LOHAS Park,日出康城
Lok Fu Estate,乐富村
Lok Fu,乐富
Lok Hin Terrace,乐轩台
Lok Man Sun Chuen,乐民新村
Lower Wong Tai Sin Estate (I & II),黄大仙下村(一、二)
Luk Yeung,陆杨
Lung Poon Court,龙蟠苑
Luohu District,深圳市
Ma On Shan,马鞍山
Ma Tau Kok,马头角
Ma Tau Wai Estate,马头围村
Ma Tau Wai,马头围
Ma Wan,马湾
Manhattan Hill,曼哈顿山
Mantin Heights,文田高原
Mei Foo Sun Chuen,美孚新村
Mei Foo,美孚
Mei King Mansion,美景大厦
Mei Tung Estate,美东村
Metro Harbour,都会港
Metropole Building,新都大厦
Mid Levels,半山区
Ming Wah Dai Ha,明华大夏
Mong Kok,旺角
Mount Davis,摩星戴维斯
Mount Parker,帕克山
Mui Wo Kau Tsuen,梅窝滘村
Nai Chung,乃中
Nam Cheong Estate,南昌村
Nam Cheong,南昌
Nam Fung Sun Chuen,南风新村
Nam Shan Estate,南山村
New Jade Garden,新翠花园
New Territories,新界区
Ngong Ping,昂坪
Oi Man Estate,爱民村
Oi Tung Estate,爱同村
Olympic,奥林匹克
On Wo Yuen,安和园
One Kai Tak,启德一号
Pak Shek Kok,白石角
Pak Tin Estate,白田村
Parc Oasis,绿洲公园
Park Avenue,公园大道
Pat Heung,八乡
Peng Chau,坪洲
Ping Shan,屏山
Pok Fu Lam,薄扶林
Pok Hong,博康
Pokfulam Gardens,薄扶林花园
Prince Edward,爱德华王子
Prosperous Garden,昌盛花园
Provident Centre,普罗维登特中心
Pui O,贝澳
Quarry Bay,鲗鱼涌
Queen's Terrace,皇后露台
Residence Bel-air,贝沙湾公寓
Rhythm Garden,韵律花园
Royal Peninsula,皇家半岛
Sai Kung,西贡
Sai Wan Ho,西湾河
Sai Wan,西湾
Sai Ying Pun,西营盘
Sam Shing,三成
San Po Kong,新蒲岗
San Tin,新田
San Tin,新田
San Tung Chung Hang,新东涌行
Sau Mau Ping,秀茂坪
Sha Tau Kok,沙头角
Sha Tin Pass Estate,沙田坳村
Sha Tin Wai,沙田围
Sha Tin,沙田
Sham Shui Po,深水埗
Sham Tseng,深井
Shap Pat Heung,十八乡
Shau Kei Wan,筲箕湾
Shek Kip Mei Estate,石硖尾村
Shek Kip Mei,石硖尾
Shek Lei,石篱
Shek O,石澳
Shek Pai Wan Estate,石排湾村
Shek Wai Kok,石围角
Sheung Shui,上水
Shuen Wan,船湾
Shui Chuen O,水泉澳
Siu Chik Sha,小赤沙
Siu Hei,小希
Siu Lek Yuen,小沥源
Siu Sai Wan Estate,小西湾村
Sky Tower,天空塔
So Kwun Wat Tsuen,扫管笏村
So Kwun Wat,扫管笏
So Uk Estate,苏屋村
So Uk,苏屋
Sok Kwu Wan,索罟湾
Sorrento,索伦托
South Horizons (Estate),海怡半岛 (屋苑)
South Horizons,海怡半岛
South Wave Court,南浪阁
Sun Tin Wai,新天围
Sung Wong Toi,宋旺台
Tai Hang Estate (East & West),大坑村(东、西)
Tai Hang,大坑
Tai Kok Tsui,大角咀
Tai Koo,太古
Tai Mei Tuk,大美督
Tai Mong Tsai,大网仔
Tai O,大澳
Tai On Lau,大安楼
Tai Po,大埔
Tai Shui Hang,大水坑
Tai Wai,大围
Tai Wo Hau,大窝口
Tai Wo,太和
Tai Yuen Estate,大元村
Taikoo Shing,太古城
Tak Long Estate,德朗村
The Belcher's,贝尔彻酒店
The Central Park,中央公园
The Latitude,纬度
The Long Beach,长滩
The Merton,默顿酒店
The Pacifica,太平洋酒店
The Peak,山顶
The Waterfront,海滨
Tin Hau,天后
Tin Ma Court,天马苑
Tin Shui Wai,天水围
Tin Wan Estate,田湾村
Tin Wan,田湾
Ting Kau,汀九
Ting Kok,汀角
Tiu Keng Leng,调景岭
To Kwa Wan,土瓜湾
Tseung Kwan O,将军澳
Tsim Sha Tsui,尖沙咀
Tsing Yi Town,青衣城
Tsuen Wan,荃湾
Tsui Chuk Garden,徐竹花园
Tsui Wan Estate,翠湾村
Tsz Ching Estate,慈正村
Tsz Hong Estate,慈康村
Tsz Man Estate,慈文村
Tsz Wan Shan,慈云山
Tuen Mun San Hui,屯门新墟
Tuen Mun,屯门
Tung Chun Court,东俊苑
Tung Chung,东涌
Tung Hei Court,东熹阁
Tung Tao Court,东涛苑
Tung Tau Estate,东头村
Tung Tau Tsuen,东头村
Tung Wui Estate,东汇村
Tung Yuk Court,东旭阁
Un Chau Estate,元州村
Upper Wong Tai Sin Estate,黄大仙上村
Victoria Park,维多利亚公园
Victoria,维多利亚
Wah Fu,华富
Wah Kwai Estate,华贵村
Wah Kwai,华贵
Wan Chai,湾仔
Wan Tsui Estate,环翠村
Wang Tau Hom Estate,横头磡村
Wang Tau Hom,横头磡
Whampoa Estate,黄埔新村
Whampoa Garden,黄埔花园
Whampoa,黄埔
Wing Cheong Estate,永昌村
Wo Che,禾輋
Wong Chuk Hang,黄竹坑
Wong Tai Sin,黄大仙
Wu Kai Sha,乌凯莎
Wu King,武王
Yau Ma Tei,油麻地
Yau Tong,油塘
Yau Yat Chuen,又一村
Yeung Uk Tsuen,杨屋村
Yiu Tung Estate,耀东村
Yu Chui,于翠
Yue Fai Court,裕辉阁
Yue Kwong Chuen,裕光村
Yue On Court,裕安阁
Yue Wan Estate,粤湾村
Yuen Long Kau Hui,元朗九墟
Yuen Long San Hui,元朗新墟
Yuen Long,元朗
Yuet Wu,吴悦
Yung Shue Wan,榕树湾
