Aberdeen Centre,香港仔中心
Ho Man Tin,ho男人锡
Hoi Fu Court,Hoi Fu Court
Hoi Lai Estate,Hoi Lai Estate
Hoi Lok Court,Hoi Lok Court
Hoi Tat Estate,hoi tat庄园
Hoi Ying Estate,Hoi Ying Estate
Hok Yuen,Hok Yuen
Hong Kong Island,香港岛
Hong Kong,香港
Hong Lok Yuen,Hong Lok Yuen
Hung Hom Estate,悬挂霍姆庄园
Hung Hom,Hung Hom
Hung Shui Kiu,悬挂shui kiu
Island Harbourview,岛港
Island Resort,岛度假村
Jardine's Lookout,贾丁的监视
Jat Min Chuen,Jat Min Chuen
Jordan,约旦
Ka Lung Court,嘉隆苑
Ka Wai Chuen,Ka Wai Chuen
Kadoorie,kadoorie
Kai Ching Estate,Kai Ching Estate
Kai Tak Garden,Kai Tak Garden
Kai Tak,Kai Tak
Kai Tsui Court,佳翠苑
Kam Tin,坎锡
Kam Ying,kam ying
Kau Wa Keng,Kau Wa Keng
Keng Hau,Keng Hau
King Shan Court,国王山法院
Kingsford Terrace,Kingsford Terrace
Kornhill Garden,科恩希尔花园
Kornhill,科恩希尔
Kowloon Bay,Kowloon Bay
Kowloon City Centre,Kowloon City Centre
Kowloon City,九龙城
Kowloon Tong,九龙汤
Kowloon West End,Kowloon West End
Kowloon,九龙
Kwai Chung,Kwai Chung
Kwong Yuen,夸元
Kwun Lung Lau,Kwun Lung Lau
Kwun Tong,Kwun Tong
Laguna City,Laguna City
Laguna Verde (Estate),拉古纳佛得角（庄园）
Laguna Verde,拉古纳佛得角
Lai Kok Estate,莱·科克庄园
Lai On Estate,Lai On Estate
Lai Tak Tsuen,赖
Lai Tsui Court,莱库法院
Lam Tin,林锡
Lau Fau Shan,刘fau shan
Lee On,李继续
Lei Cheng Uk Estate,Lei Cheng Uk Estate
Lei King Wan,Lei King Wan
Lei Tung Estate,利東邨
Lei Tung,利東
Leighton Hill,莱顿·希尔（Leighton Hill）
Liberte,Liberte
LOHAS Park,洛哈斯公园
Lok Fu Estate,Lok Fu Estate
Lok Fu,Lok Fu
Lok Hin Terrace,樂軒臺
Lok Man Sun Chuen,Lok Man Sun Chuen
Lower Wong Tai Sin Estate (I & II),下Wong Tai Sin Estate（I＆II）
Luk Yeung,Luk Yeung
Lung Poon Court,肺部法院
Ma On Shan,妈妈在山上
Ma Tau Kok,Ma Tau Kok
Ma Tau Wai Estate,马陶
Ma Tau Wai,Ma Tau Wai
Ma Wan,马万
Manhattan Hill,曼哈顿山
Mantin Heights,Mantin Heights
Mei Foo Sun Chuen,mei foo sun chuen
Mei Foo,Mei Foo
Mei King Mansion,Mei King Mansion
Mei Tung Estate,Mei Tung Estate
Metro Harbour,Metro Harbour
Metropole Building,Metropole建筑
Mid Levels,中级
Ming Wah Dai Ha,明哇
Mong Kok,蒙克
Mount Davis,戴维斯山
Mount Parker,柏架山
Mui Wo Kau Tsuen,mui wo kau tsuen
Nai Chung,Nai Chung
Nam Cheong Estate,Nam Cheong Estate
Nam Cheong,Nam Cheong
Nam Fung Sun Chuen,nam fung sun chuen
Nam Shan Estate,南山庄园
New Jade Garden,翠園
New Territories,New Territories
Ngong Ping,昂坪
Oi Man Estate,Oi Man Estate
Oi Tung Estate,Oi Tung Estate
Olympic,Olympic
On Wo Yuen,在wo yuen上
One Kai Tak,One Kai Tak
Pak Shek Kok,Pak Shek Kok
Pak Tin Estate,Pak Tin Estate
Parc Oasis,Parc Oasis
Park Avenue,公园大道
Pat Heung,帕特·亨
Peng Chau,彭县
Ping Shan,Ping Shan
Pok Fu Lam,pok fu lam
Pok Hong,pok hong
Pokfulam Gardens,薄扶林花園
Prince Edward,爱德华王子
Prosperous Garden,Prosperous Garden
Provident Centre,公积心中心
Pui O,貝澳
Quarry Bay,采石场
Queen's Terrace,女王的露台
Residence Bel-air,貝沙灣
Rhythm Garden,节奏花园
Royal Peninsula,皇家半岛
Sai Kung,赛功
Sai Wan Ho,Sai Wan Ho
Sai Wan,西万
Sai Ying Pun,Sai ying双关
Sam Shing,Sam Shing
San Po Kong,San Po Kong
San Tin,圣锡
San Tin,圣锡
San Tung Chung Hang,圣顿钟挂
Sau Mau Ping,Sau Mau Ping
Sha Tau Kok,Sha Tau Kok
Sha Tin Pass Estate,Sha Tin Pass Estate
Sha Tin Wai,Sha Tin Wai
Sha Tin,sha tin
Sham Shui Po,Sham Shui Po
Sham Tseng,假腾
Shap Pat Heung,塑造帕特·亨
Shau Kei Wan,shau kei wan
Shek Kip Mei Estate,Shek Kip Mei庄园
Shek Kip Mei,Shek Kip Mei
Shek Lei,Shek Lei
Shek O,石澳
Shek Pai Wan Estate,石排灣邨
Shek Wai Kok,Shek Wai Kok
Sheung Shui,Sheung Shui
Shuen Wan,Shuen Wan
Shui Chuen O,Shui Chuen O
Siu Chik Sha,Siu Chik Sha
Siu Hei,siu hei
Siu Lek Yuen,Siu Lek Yuen
Siu Sai Wan Estate,小西湾
Sky Tower,Sky Tower
So Kwun Wat Tsuen,所以kwun wat tsuen
So Kwun Wat,So Kwun Wat
So Uk Estate,如此英国庄园
So Uk,So Uk
Sok Kwu Wan,索罟灣
Sorrento,索伦托
South Horizons (Estate),海怡半島
South Horizons,海怡半島
South Wave Court,深灣道 南濤閣
Sun Tin Wai,太阳锡
Sung Wong Toi,Sung Wong Toi
Tai Hang Estate (East & West),Tai Hang Estate (East & West)
Tai Hang,太极挂
Tai Kok Tsui,Tai Kok Tsui
Tai Koo,太极
Tai Mei Tuk,太极拳
Tai Mong Tsai,太极拳
Tai O,大澳
Tai On Lau,太极在刘上
Tai Po,太极
Tai Shui Hang,太极挂
Tai Wai,太极拳
Tai Wo Hau,太极拳
Tai Wo,太极
Tai Yuen Estate,太极庄园
Taikoo Shing,taikoo shing
Tak Long Estate,Tak Long Estate
The Belcher's,The Belcher's
The Central Park,中央公园
The Latitude,纬度
The Long Beach,The Long Beach
The Merton,默顿
The Pacifica,Pacifica
The Peak,太平山顶
The Waterfront,海滨
Tin Hau,锡豪
Tin Ma Court,锡马法院
Tin Shui Wai,Tin Shui Wai
Tin Wan Estate,田湾邨
Tin Wan,锡万
Ting Kau,Ting Kau
Ting Kok,Ting Kok
Tiu Keng Leng,Tiu Keng Leng
To Kwa Wan,到Kwa Wan
Tseung Kwan O,Tseung Kwan O
Tsim Sha Tsui,TSIM SHA TSUI
Tsing Yi Town,Tsing Yi Town
Tsuen Wan,Tsuen Wan
Tsui Chuk Garden,Tsui Chuk花园
Tsui Wan Estate,Tsui Wan Estate
Tsz Ching Estate,TSZ Ching Estate
Tsz Hong Estate,TSZ Hong Estate
Tsz Man Estate,TSZ Man Estate
Tsz Wan Shan,Tsz Wan Shan
Tuen Mun San Hui,图恩·芒圣华
Tuen Mun,Tuen Mun
Tung Chun Court,Tung Chun Court
Tung Chung,董钟
Tung Hei Court,Tung Hei法院
Tung Tao Court,Tung Tao法院
Tung Tau Estate,Tung Tau Estate
Tung Tau Tsuen,Tung Tau Tsuen
Tung Wui Estate,Tung Wui Estate
Tung Yuk Court,Tung Yuk Court
Un Chau Estate,Un Chau Estate
Upper Wong Tai Sin Estate,Upper Wong Tai Sin Estate
Victoria Park,维多利亚公园
Victoria,维多利亚
Wah Fu,華富邨
Wah Kwai Estate,華貴邨
Wah Kwai,華貴
Wan Chai,Wan Chai
Wan Tsui Estate,环翠邨
Wang Tau Hom Estate,王塔·霍姆（Wang Tau Hom Estate）
Wang Tau Hom,Wang Tau Hom
Whampoa Estate,Whampoa庄园
Whampoa Garden,Whampoa花园
Whampoa,Whampoa
Wing Cheong Estate,Wing Cheong Estate
Wo Che,哇
Wong Chuk Hang,黃竹坑
Wong Tai Sin,王泰恩
Wu Kai Sha,吴凯·沙
Wu King,吴王
Yau Ma Tei,Yau Ma Tei
Yau Tong,Yau Tong
Yau Yat Chuen,Yau Yat Chuen
Yeung Uk Tsuen,Yeung UK Tsuen
Yiu Tung Estate,Yiu Tung Estate
Yu Chui,yu chui
Yue Fai Court,漁暉苑
Yue Kwong Chuen,渔光村
Yue On Court,漁安苑
Yue Wan Estate,漁灣邨
Yuen Long Kau Hui,Yuen Long Kau Hui
Yuen Long San Hui,Yuen Long San Hui
Yuen Long,Yuen Long
Yuet Wu,Yuet Wu
Yung Shue Wan,榕樹灣
